requested_density,run,initial_population,initial_susceptible,final_susceptible,final_recovered,final_healthy_density,mortality_fraction,infection_episodes,infection_episodes_per_initial_population,peak_infectious,peak_prevalence,duration_generations,time_to_peak,wave_count,resurgence_count
40.0,17,104990.0,104978.0,104490.0,0.0,0.3985977172851562,0.0047623583198399,26274.0,0.2502524049909515,815.0,0.0077626440613391,3142.0,2719.0,4,3
40.0,18,104721.0,104709.0,104720.0,0.0,0.39947509765625,9.549183067388584e-06,21.0,0.0002005328444151,16.0,0.0001527869290782,119.0,2.0,0,0
40.0,19,104939.0,104927.0,104938.0,0.0,0.4003067016601562,9.529345619836288e-06,139.0,0.0013245790411572,52.0,0.0004955259722314,235.0,16.0,0,0
40.0,20,104868.0,104856.0,104860.0,0.0,0.4000091552734375,7.628637906701758e-05,371.0,0.0035377808292329,73.0,0.0006961132089865,418.0,15.0,0,0
40.0,21,104636.0,104624.0,104597.0,1.0,0.3990097045898437,0.0003631637295003,2247.0,0.0214744447417714,254.0,0.0024274628235024,531.0,93.0,1,0
40.0,22,104504.0,104492.0,104502.0,1.0,0.3986473083496094,9.569011712470337e-06,89.0,0.0008516420424098,46.0,0.0004401745387736,152.0,15.0,0,0
40.0,23,104784.0,104772.0,104602.0,0.0,0.3990249633789062,0.0017369063979233,9948.0,0.0949381584974805,540.0,0.005153458543289,1014.0,340.0,1,0
40.0,24,104967.0,104955.0,104583.0,0.0,0.3989524841308594,0.0036582926062476,19818.0,0.1888021949755637,540.0,0.0051444739775357,1834.0,230.0,1,0
40.0,25,104730.0,104718.0,104404.0,0.0,0.3982696533203125,0.0031127661606034,18659.0,0.1781628950634966,577.0,0.005509405137019,1831.0,112.0,1,0
40.0,26,105232.0,105220.0,105157.0,0.0,0.4011421203613281,0.0007127109624448,3833.0,0.0364242815873498,448.0,0.0042572601490041,701.0,105.0,1,0
40.0,27,105084.0,105072.0,104646.0,0.0,0.3991928100585937,0.0041680940961516,23503.0,0.2236591679037722,594.0,0.0056526207605344,1847.0,586.0,1,0
