requested_density,run,initial_fuel,final_fuel,burned_fuel,burn_fraction,duration_generations,peak_active_fire,peak_active_fraction,time_to_peak,max_burn_rate,dynamic_frames,initial_grass,burned_grass_fraction,initial_bush,burned_bush_fraction,initial_tree,burned_tree_fraction
55.0,29,144360.0,144350.0,10.0,6.927126627874758e-05,3.0,17.0,0.00011776115267387087,1.0,3.463563313937379e-05,4,48129.0,8.310997527478235e-05,48252.0,6.217358865953743e-05,47979.0,6.252735571812669e-05
55.0,30,144140.0,144125.0,15.0,0.00010406549188289164,5.0,20.0,0.00013875398917718884,2.0,3.468849729429721e-05,6,47941.0,0.00010429486243507645,48352.0,0.00010340833884844474,47847.0,0.0001044997596505528
60.0,1,157238.0,157190.0,48.0,0.00030526971851588036,12.0,25.0,0.00015899464506035436,2.0,6.359785802414175e-05,13,52132.0,0.0004987339829663163,52416.0,0.0003243284493284493,52690.0,9.48946669197191e-05
60.0,2,157016.0,157008.0,8.0,5.09502216334641e-05,3.0,17.0,0.00010826922097111123,1.0,3.184388852091507e-05,4,52359.0,3.819782654366966e-05,52062.0,7.68314701701817e-05,52595.0,3.8026428367715565e-05
60.0,3,157490.0,157431.0,59.0,0.0003746269604419328,15.0,21.0,0.00013334179947933203,2.0,5.0796875992126486e-05,16,52425.0,0.000648545541249404,52539.0,0.0003806695978225699,52526.0,9.519095305182195e-05
60.0,4,157117.0,157079.0,38.0,0.00024185797844918119,8.0,27.0,0.00017184645837178662,2.0,6.364683643399504e-05,9,52309.0,0.0003632262134623105,52280.0,0.00019127773527161438,52528.0,0.00017133719159305514
60.0,5,157208.0,157194.0,14.0,8.905399216324868e-05,4.0,21.0,0.00013358098824487304,1.0,5.7248994962088445e-05,5,52105.0,0.00017272814509164188,52485.0,7.621225111936744e-05,52618.0,1.9004903265042382e-05
60.0,6,157412.0,157385.0,27.0,0.00017152440728788147,8.0,21.0,0.00013340787233501894,2.0,3.811653495286255e-05,9,52492.0,0.00028575782976453555,52884.0,0.0001512744875576734,52036.0,7.686985932815743e-05
60.0,7,157267.0,157223.0,44.0,0.0002797789746100581,12.0,17.0,0.00010809642200843153,1.0,3.8151678355917006e-05,13,52741.0,0.0004929751047572097,52221.0,0.0002872407652093985,52305.0,5.735589331803843e-05
60.0,8,157115.0,157097.0,18.0,0.00011456576393087865,4.0,21.0,0.00013366005791935843,2.0,5.0918117302612735e-05,5,52461.0,0.000152494233811784,52346.0,0.0001528292515187407,52308.0,3.823506920547526e-05
60.0,9,157151.0,157127.0,24.0,0.00015271935908775636,8.0,21.0,0.00013362943920178683,2.0,3.817983977193909e-05,9,52440.0,0.0003241800152555301,52443.0,9.534160898499323e-05,52268.0,3.826432999158185e-05
60.0,10,157866.0,157850.0,16.0,0.00010135177935717634,5.0,17.0,0.00010768626556699987,1.0,3.167243104911761e-05,6,52808.0,0.00020830177245871837,52419.0,7.630820885556764e-05,52639.0,1.8997321377685746e-05
60.0,11,157612.0,157566.0,46.0,0.00029185595005456436,11.0,22.0,0.00013958328046087862,2.0,5.075755653122859e-05,12,52627.0,0.0005130446348832349,52642.0,0.0002849435811709282,52343.0,7.641900540664463e-05
60.0,12,156798.0,156759.0,39.0,0.00024872766234263193,6.0,32.0,0.00020408423576831337,2.0,7.653158841311751e-05,7,52356.0,0.0004775001910000764,52399.0,0.00011450600202293937,52043.0,0.00015371904002459504
60.0,13,157494.0,157475.0,19.0,0.00012063951642602257,4.0,25.0,0.00015873620582371393,2.0,5.714503409653701e-05,5,52726.0,0.00018965975040776846,52235.0,0.00013400976356848856,52533.0,3.807130755905812e-05
60.0,14,157147.0,157118.0,29.0,0.0001845405893844617,11.0,21.0,0.00013363284058874811,1.0,5.727121739517776e-05,12,51877.0,0.0002891454787285309,52973.0,0.00020765295527910445,52297.0,5.736466718932252e-05
60.0,15,157509.0,157485.0,24.0,0.0001523722453955012,4.0,24.0,0.0001523722453955012,2.0,6.348843558145884e-05,5,52425.0,0.0003051979017644254,52688.0,9.489826905557243e-05,52396.0,5.725627910527521e-05
60.0,16,157497.0,157479.0,18.0,0.00011428789119792757,6.0,19.0,0.00012063721848670134,2.0,2.539730915509502e-05,7,52304.0,0.00015295197308045274,52478.0,0.00017150043827889781,52715.0,1.8969932656739068e-05
60.0,17,157023.0,156994.0,29.0,0.000184686319838495,9.0,23.0,0.00014647535711328913,2.0,5.7316444087808795e-05,10,52159.0,0.00042178722751586495,52370.0,7.637960664502578e-05,52494.0,5.7149388501543034e-05
60.0,18,157143.0,157111.0,32.0,0.000203636178512565,5.0,25.0,0.0001590907644629414,2.0,5.090904462814125e-05,6,52190.0,0.00040237593408698984,52757.0,0.0001705934757472942,52196.0,3.831711242240785e-05
60.0,19,157423.0,157407.0,16.0,0.0001016369907827954,4.0,19.0,0.00012069392655456954,2.0,3.176155961962356e-05,5,52214.0,0.00017236756425479757,52648.0,5.698222154687737e-05,52561.0,7.61020528528757e-05
60.0,20,157803.0,157768.0,35.0,0.00022179552986952085,10.0,22.0,0.0001394143330608417,2.0,4.435910597390417e-05,11,52542.0,0.00034258307639602604,52805.0,0.00020831360666603542,52456.0,0.00011438157694067408
